country,date,year_week,Daily hospital occupancy,under_15_cases,15-24_cases,25-49_cases,50-64_cases,65-79_cases,over_80_cases,next_week_increase_decrease
Belgium,6/3/2020,2020-W23,739,48,95,306,153,114,124,0
Belgium,6/4/2020,2020-W23,702,48,95,306,153,114,124,0
Belgium,6/5/2020,2020-W23,647,48,95,306,153,114,124,0
Belgium,6/6/2020,2020-W23,573,48,95,306,153,114,124,0
Belgium,6/7/2020,2020-W23,576,48,95,306,153,114,124,0
Belgium,6/8/2020,2020-W24,575,52,68,242,129,79,96,0
Belgium,6/9/2020,2020-W24,527,52,68,242,129,79,96,0
Belgium,6/10/2020,2020-W24,484,52,68,242,129,79,96,0
Belgium,6/11/2020,2020-W24,479,52,68,242,129,79,96,0
Belgium,6/12/2020,2020-W24,425,52,68,242,129,79,96,0
Belgium,6/13/2020,2020-W24,395,52,68,242,129,79,96,0
Belgium,6/14/2020,2020-W24,400,52,68,242,129,79,96,0
Belgium,6/15/2020,2020-W25,393,71,72,246,114,76,84,0
Belgium,6/16/2020,2020-W25,371,71,72,246,114,76,84,0
Belgium,6/17/2020,2020-W25,344,71,72,246,114,76,84,0
Belgium,6/18/2020,2020-W25,340,71,72,246,114,76,84,0
Belgium,6/19/2020,2020-W25,308,71,72,246,114,76,84,0
Belgium,6/20/2020,2020-W25,292,71,72,246,114,76,84,0
Belgium,6/21/2020,2020-W25,295,71,72,246,114,76,84,0
Belgium,6/22/2020,2020-W26,293,75,68,237,106,57,58,0
Belgium,6/23/2020,2020-W26,281,75,68,237,106,57,58,0
Belgium,6/24/2020,2020-W26,268,75,68,237,106,57,58,0
Belgium,6/25/2020,2020-W26,256,75,68,237,106,57,58,0
Belgium,6/26/2020,2020-W26,247,75,68,237,106,57,58,0
Belgium,6/27/2020,2020-W26,237,75,68,237,106,57,58,0
Belgium,6/28/2020,2020-W26,237,75,68,237,106,57,58,0
Belgium,6/29/2020,2020-W27,244,69,89,254,113,53,52,0
Belgium,6/30/2020,2020-W27,222,69,89,254,113,53,52,0
Belgium,7/1/2020,2020-W27,203,69,89,254,113,53,52,0
Belgium,7/2/2020,2020-W27,187,69,89,254,113,53,52,0
Belgium,7/3/2020,2020-W27,168,69,89,254,113,53,52,0
Belgium,7/4/2020,2020-W27,170,69,89,254,113,53,52,0
Belgium,7/5/2020,2020-W27,170,69,89,254,113,53,52,0
Belgium,7/6/2020,2020-W28,169,62,112,294,128,61,46,0
Belgium,7/7/2020,2020-W28,178,62,112,294,128,61,46,0
Belgium,7/8/2020,2020-W28,165,62,112,294,128,61,46,0
Belgium,7/9/2020,2020-W28,160,62,112,294,128,61,46,0
Belgium,7/10/2020,2020-W28,143,62,112,294,128,61,46,1
Belgium,7/11/2020,2020-W28,132,62,112,294,128,61,46,1
Belgium,7/12/2020,2020-W28,130,62,112,294,128,61,46,1
Belgium,7/13/2020,2020-W29,138,132,240,597,227,110,70,1
Belgium,7/14/2020,2020-W29,147,132,240,597,227,110,70,1
Belgium,7/15/2020,2020-W29,150,132,240,597,227,110,70,1
Belgium,7/16/2020,2020-W29,147,132,240,597,227,110,70,1
Belgium,7/17/2020,2020-W29,145,132,240,597,227,110,70,1
Belgium,7/18/2020,2020-W29,161,132,240,597,227,110,70,1
Belgium,7/19/2020,2020-W29,168,132,240,597,227,110,70,1
Belgium,7/20/2020,2020-W30,181,262,473,1124,385,149,91,1
Belgium,7/21/2020,2020-W30,172,262,473,1124,385,149,91,1
Belgium,7/22/2020,2020-W30,191,262,473,1124,385,149,91,1
Belgium,7/23/2020,2020-W30,203,262,473,1124,385,149,91,1
Belgium,7/24/2020,2020-W30,218,262,473,1124,385,149,91,1
Belgium,7/25/2020,2020-W30,210,262,473,1124,385,149,91,1
Belgium,7/26/2020,2020-W30,211,262,473,1124,385,149,91,1
Belgium,7/27/2020,2020-W31,222,382,678,1745,604,210,125,1
Belgium,7/28/2020,2020-W31,232,382,678,1745,604,210,125,1
Belgium,7/29/2020,2020-W31,263,382,678,1745,604,210,125,1
Belgium,7/30/2020,2020-W31,267,382,678,1745,604,210,125,1
Belgium,7/31/2020,2020-W31,253,382,678,1745,604,210,125,1
Belgium,8/1/2020,2020-W31,259,382,678,1745,604,210,125,1
Belgium,8/2/2020,2020-W31,271,382,678,1745,604,210,125,1
Belgium,8/3/2020,2020-W32,290,465,868,1947,695,229,123,1
Belgium,8/4/2020,2020-W32,265,465,868,1947,695,229,123,1
Belgium,8/5/2020,2020-W32,293,465,868,1947,695,229,123,1
Belgium,8/6/2020,2020-W32,278,465,868,1947,695,229,123,1
Belgium,8/7/2020,2020-W32,285,465,868,1947,695,229,123,1
Belgium,8/8/2020,2020-W32,281,465,868,1947,695,229,123,1
Belgium,8/9/2020,2020-W32,285,465,868,1947,695,229,123,1
Belgium,8/10/2020,2020-W33,312,430,647,1718,563,198,173,1
Belgium,8/11/2020,2020-W33,307,430,647,1718,563,198,173,1
Belgium,8/12/2020,2020-W33,301,430,647,1718,563,198,173,1
Belgium,8/13/2020,2020-W33,309,430,647,1718,563,198,173,0
Belgium,8/14/2020,2020-W33,312,430,647,1718,563,198,173,1
Belgium,8/15/2020,2020-W33,309,430,647,1718,563,198,173,1
Belgium,8/16/2020,2020-W33,337,430,647,1718,563,198,173,0
Belgium,8/17/2020,2020-W34,341,377,633,1639,538,156,96,0
Belgium,8/18/2020,2020-W34,335,377,633,1639,538,156,96,0
Belgium,8/19/2020,2020-W34,334,377,633,1639,538,156,96,0
Belgium,8/20/2020,2020-W34,303,377,633,1639,538,156,96,0
Belgium,8/21/2020,2020-W34,314,377,633,1639,538,156,96,0
Belgium,8/22/2020,2020-W34,310,377,633,1639,538,156,96,0
Belgium,8/23/2020,2020-W34,312,377,633,1639,538,156,96,0
Belgium,8/24/2020,2020-W35,320,377,582,1484,464,144,65,0
Belgium,8/25/2020,2020-W35,282,377,582,1484,464,144,65,0
Belgium,8/26/2020,2020-W35,260,377,582,1484,464,144,65,0
Belgium,8/27/2020,2020-W35,257,377,582,1484,464,144,65,0
Belgium,8/28/2020,2020-W35,252,377,582,1484,464,144,65,0
Belgium,8/29/2020,2020-W35,230,377,582,1484,464,144,65,0
Belgium,8/30/2020,2020-W35,233,377,582,1484,464,144,65,0
Belgium,8/31/2020,2020-W36,243,418,759,1670,557,160,82,0
Belgium,9/1/2020,2020-W36,226,418,759,1670,557,160,82,1
Belgium,9/2/2020,2020-W36,221,418,759,1670,557,160,82,1
Belgium,9/3/2020,2020-W36,209,418,759,1670,557,160,82,1
Belgium,9/4/2020,2020-W36,215,418,759,1670,557,160,82,1
Belgium,9/5/2020,2020-W36,215,418,759,1670,557,160,82,1
Belgium,9/6/2020,2020-W36,223,418,759,1670,557,160,82,1
Belgium,10/5/2020,2020-W41,937,2826,8868,16160,6826,2532,1264,1
Belgium,10/6/2020,2020-W41,952,2826,8868,16160,6826,2532,1264,1
Belgium,10/7/2020,2020-W41,1050,2826,8868,16160,6826,2532,1264,1
Belgium,10/8/2020,2020-W41,1110,2826,8868,16160,6826,2532,1264,1
Belgium,10/9/2020,2020-W41,1191,2826,8868,16160,6826,2532,1264,1
Belgium,10/10/2020,2020-W41,1260,2826,8868,16160,6826,2532,1264,1
Belgium,10/11/2020,2020-W41,1334,2826,8868,16160,6826,2532,1264,1
Belgium,10/12/2020,2020-W42,1473,5653,14467,30006,13451,5278,3012,1
Belgium,10/13/2020,2020-W42,1622,5653,14467,30006,13451,5278,3012,1
Belgium,10/14/2020,2020-W42,1778,5653,14467,30006,13451,5278,3012,1
Belgium,10/15/2020,2020-W42,1951,5653,14467,30006,13451,5278,3012,1
Belgium,10/16/2020,2020-W42,2099,5653,14467,30006,13451,5278,3012,1
Belgium,10/17/2020,2020-W42,2267,5653,14467,30006,13451,5278,3012,1
Belgium,10/18/2020,2020-W42,2497,5653,14467,30006,13451,5278,3012,1
Belgium,10/19/2020,2020-W43,2773,6507,16355,45832,21356,8869,5999,1
Belgium,10/20/2020,2020-W43,2978,6507,16355,45832,21356,8869,5999,1
Belgium,10/21/2020,2020-W43,3275,6507,16355,45832,21356,8869,5999,1
Belgium,10/22/2020,2020-W43,3649,6507,16355,45832,21356,8869,5999,1
Belgium,10/23/2020,2020-W43,4056,6507,16355,45832,21356,8869,5999,1
Belgium,10/24/2020,2020-W43,4408,6507,16355,45832,21356,8869,5999,1
Belgium,10/25/2020,2020-W43,4825,6507,16355,45832,21356,8869,5999,1
Belgium,10/26/2020,2020-W44,5268,3997,12166,43026,22109,10253,7632,1
Belgium,10/27/2020,2020-W44,5548,3997,12166,43026,22109,10253,7632,1
Belgium,10/28/2020,2020-W44,5924,3997,12166,43026,22109,10253,7632,1
Belgium,10/29/2020,2020-W44,6187,3997,12166,43026,22109,10253,7632,1
Belgium,10/30/2020,2020-W44,6439,3997,12166,43026,22109,10253,7632,1
Belgium,10/31/2020,2020-W44,6502,3997,12166,43026,22109,10253,7632,1
Belgium,11/1/2020,2020-W44,6824,3997,12166,43026,22109,10253,7632,1
Belgium,11/2/2020,2020-W45,7233,1569,5722,22752,12282,6112,5310,0
Belgium,11/3/2020,2020-W45,7461,1569,5722,22752,12282,6112,5310,0
Belgium,11/4/2020,2020-W45,7411,1569,5722,22752,12282,6112,5310,0
Belgium,11/5/2020,2020-W45,7290,1569,5722,22752,12282,6112,5310,0
Belgium,11/6/2020,2020-W45,7224,1569,5722,22752,12282,6112,5310,0
Belgium,11/7/2020,2020-W45,6895,1569,5722,22752,12282,6112,5310,0
Belgium,11/8/2020,2020-W45,6955,1569,5722,22752,12282,6112,5310,0
Belgium,11/9/2020,2020-W46,7221,1144,3581,13230,7493,3809,4555,0
Belgium,11/10/2020,2020-W46,7058,1144,3581,13230,7493,3809,4555,0
Belgium,11/11/2020,2020-W46,6879,1144,3581,13230,7493,3809,4555,0
Belgium,11/12/2020,2020-W46,7010,1144,3581,13230,7493,3809,4555,0
Belgium,11/13/2020,2020-W46,6762,1144,3581,13230,7493,3809,4555,0
Belgium,11/14/2020,2020-W46,6505,1144,3581,13230,7493,3809,4555,0
Belgium,11/15/2020,2020-W46,6518,1144,3581,13230,7493,3809,4555,0
Belgium,11/16/2020,2020-W47,6580,1073,2683,8215,4518,2395,3317,0
Belgium,11/17/2020,2020-W47,6240,1073,2683,8215,4518,2395,3317,0
Belgium,11/18/2020,2020-W47,5930,1073,2683,8215,4518,2395,3317,0
Belgium,11/19/2020,2020-W47,5651,1073,2683,8215,4518,2395,3317,0
Belgium,11/20/2020,2020-W47,5418,1073,2683,8215,4518,2395,3317,0
Belgium,11/21/2020,2020-W47,5017,1073,2683,8215,4518,2395,3317,0
Belgium,11/22/2020,2020-W47,5025,1073,2683,8215,4518,2395,3317,0
Belgium,11/23/2020,2020-W48,5076,1079,2010,5619,3138,1733,2433,0
Belgium,11/24/2020,2020-W48,4783,1079,2010,5619,3138,1733,2433,0
Belgium,11/25/2020,2020-W48,4570,1079,2010,5619,3138,1733,2433,0
Belgium,11/26/2020,2020-W48,4376,1079,2010,5619,3138,1733,2433,0
Belgium,11/27/2020,2020-W48,4215,1079,2010,5619,3138,1733,2433,0
Belgium,11/28/2020,2020-W48,3994,1079,2010,5619,3138,1733,2433,0
Belgium,11/29/2020,2020-W48,3989,1079,2010,5619,3138,1733,2433,0
Belgium,12/28/2020,2020-W53,2440,351,1329,3951,2254,1182,1299,0
Belgium,12/29/2020,2020-W53,2417,351,1329,3951,2254,1182,1299,0
Belgium,12/30/2020,2020-W53,2333,351,1329,3951,2254,1182,1299,0
Belgium,12/31/2020,2020-W53,2187,351,1329,3951,2254,1182,1299,0
Belgium,1/1/2021,2020-W53,2081,351,1329,3951,2254,1182,1299,0
Belgium,1/2/2021,2020-W53,2122,351,1329,3951,2254,1182,1299,0
Belgium,1/3/2021,2020-W53,2185,351,1329,3951,2254,1182,1299,0
Belgium,1/4/2021,2021-W01,2226,561,1809,5756,2813,1382,1757,0
Belgium,1/5/2021,2021-W01,2130,561,1809,5756,2813,1382,1757,0
Belgium,1/6/2021,2021-W01,2076,561,1809,5756,2813,1382,1757,0
Belgium,1/7/2021,2021-W01,2018,561,1809,5756,2813,1382,1757,0
Belgium,1/8/2021,2021-W01,1996,561,1809,5756,2813,1382,1757,0
Belgium,1/9/2021,2021-W01,1927,561,1809,5756,2813,1382,1757,0
Belgium,1/10/2021,2021-W01,1955,561,1809,5756,2813,1382,1757,0
Belgium,1/11/2021,2021-W02,2020,614,1714,5559,2805,1316,1390,0
Belgium,1/12/2021,2021-W02,1966,614,1714,5559,2805,1316,1390,0
Belgium,1/13/2021,2021-W02,1943,614,1714,5559,2805,1316,1390,0
Belgium,1/14/2021,2021-W02,1915,614,1714,5559,2805,1316,1390,1
Belgium,1/15/2021,2021-W02,1883,614,1714,5559,2805,1316,1390,1
Belgium,1/16/2021,2021-W02,1828,614,1714,5559,2805,1316,1390,1
Belgium,1/17/2021,2021-W02,1892,614,1714,5559,2805,1316,1390,1
Belgium,1/18/2021,2021-W03,1974,1005,1847,5729,2778,1319,1442,0
Belgium,1/19/2021,2021-W03,1960,1005,1847,5729,2778,1319,1442,0
Belgium,1/20/2021,2021-W03,1938,1005,1847,5729,2778,1319,1442,0
Belgium,1/21/2021,2021-W03,1941,1005,1847,5729,2778,1319,1442,0
Belgium,1/22/2021,2021-W03,1923,1005,1847,5729,2778,1319,1442,0
Belgium,1/23/2021,2021-W03,1888,1005,1847,5729,2778,1319,1442,0
Belgium,1/24/2021,2021-W03,1923,1005,1847,5729,2778,1319,1442,0
Belgium,1/25/2021,2021-W04,1954,1393,2038,6067,2909,1367,1481,0
Belgium,1/26/2021,2021-W04,1928,1393,2038,6067,2909,1367,1481,0
Belgium,1/27/2021,2021-W04,1850,1393,2038,6067,2909,1367,1481,0
Belgium,1/28/2021,2021-W04,1819,1393,2038,6067,2909,1367,1481,0
Belgium,1/29/2021,2021-W04,1810,1393,2038,6067,2909,1367,1481,0
Belgium,1/30/2021,2021-W04,1760,1393,2038,6067,2909,1367,1481,0
Belgium,1/31/2021,2021-W04,1788,1393,2038,6067,2909,1367,1481,0
Belgium,2/1/2021,2021-W05,1852,1213,2005,5608,2643,1264,1122,0
Belgium,2/2/2021,2021-W05,1794,1213,2005,5608,2643,1264,1122,0
Belgium,2/3/2021,2021-W05,1785,1213,2005,5608,2643,1264,1122,0
Belgium,2/4/2021,2021-W05,1751,1213,2005,5608,2643,1264,1122,0
Belgium,2/5/2021,2021-W05,1737,1213,2005,5608,2643,1264,1122,0
Belgium,2/6/2021,2021-W05,1650,1213,2005,5608,2643,1264,1122,0
Belgium,2/7/2021,2021-W05,1678,1213,2005,5608,2643,1264,1122,0
Belgium,2/8/2021,2021-W06,1698,926,1758,4815,2309,1095,851,0
Belgium,2/9/2021,2021-W06,1674,926,1758,4815,2309,1095,851,0
Belgium,2/10/2021,2021-W06,1652,926,1758,4815,2309,1095,851,0
Belgium,2/11/2021,2021-W06,1642,926,1758,4815,2309,1095,851,0
Belgium,2/12/2021,2021-W06,1634,926,1758,4815,2309,1095,851,0
Belgium,2/13/2021,2021-W06,1567,926,1758,4815,2309,1095,851,0
Belgium,2/14/2021,2021-W06,1598,926,1758,4815,2309,1095,851,1
Belgium,2/15/2021,2021-W07,1639,984,1998,6126,2986,1357,891,1
Belgium,2/16/2021,2021-W07,1600,984,1998,6126,2986,1357,891,1
Belgium,2/17/2021,2021-W07,1610,984,1998,6126,2986,1357,891,1
Belgium,2/18/2021,2021-W07,1588,984,1998,6126,2986,1357,891,1
Belgium,2/19/2021,2021-W07,1607,984,1998,6126,2986,1357,891,1
Belgium,2/20/2021,2021-W07,1567,984,1998,6126,2986,1357,891,1
Belgium,2/21/2021,2021-W07,1619,984,1998,6126,2986,1357,891,1
Belgium,2/22/2021,2021-W08,1721,1070,2468,6596,3075,1513,821,1
Belgium,2/23/2021,2021-W08,1711,1070,2468,6596,3075,1513,821,1
Belgium,2/24/2021,2021-W08,1749,1070,2468,6596,3075,1513,821,1
Belgium,2/25/2021,2021-W08,1759,1070,2468,6596,3075,1513,821,1
Belgium,2/26/2021,2021-W08,1838,1070,2468,6596,3075,1513,821,1
Belgium,2/27/2021,2021-W08,1835,1070,2468,6596,3075,1513,821,1
Belgium,2/28/2021,2021-W08,1896,1070,2468,6596,3075,1513,821,1
Belgium,3/29/2021,2021-W13,2820,2054,4716,14026,7992,4213,2466,1
Belgium,3/30/2021,2021-W13,2868,2054,4716,14026,7992,4213,2466,1
Belgium,3/31/2021,2021-W13,2938,2054,4716,14026,7992,4213,2466,1
Belgium,4/1/2021,2021-W13,2959,2054,4716,14026,7992,4213,2466,1
Belgium,4/2/2021,2021-W13,3026,2054,4716,14026,7992,4213,2466,1
Belgium,4/3/2021,2021-W13,2911,2054,4716,14026,7992,4213,2466,1
Belgium,4/4/2021,2021-W13,2923,2054,4716,14026,7992,4213,2466,1
Croatia,4/15/2020,2020-W16,341,8,26,163,125,55,11,0
Croatia,4/16/2020,2020-W16,372,8,26,163,125,55,11,0
Croatia,4/17/2020,2020-W16,372,8,26,163,125,55,11,0
Croatia,4/18/2020,2020-W16,361,8,26,163,125,55,11,0
Croatia,4/19/2020,2020-W16,331,8,26,163,125,55,11,0
Croatia,4/20/2020,2020-W17,324,20,23,172,123,79,16,0
Croatia,4/21/2020,2020-W17,317,20,23,172,123,79,16,0
Croatia,4/22/2020,2020-W17,314,20,23,172,123,79,16,0
Croatia,4/23/2020,2020-W17,321,20,23,172,123,79,16,0
Croatia,4/24/2020,2020-W17,325,20,23,172,123,79,16,0
Croatia,4/25/2020,2020-W17,316,20,23,172,123,79,16,0
Croatia,4/26/2020,2020-W17,314,20,23,172,123,79,16,0
Croatia,4/27/2020,2020-W18,303,23,35,157,129,76,29,0
Croatia,4/28/2020,2020-W18,287,23,35,157,129,76,29,0
Croatia,4/29/2020,2020-W18,269,23,35,157,129,76,29,0
Croatia,4/30/2020,2020-W18,261,23,35,157,129,76,29,0
Croatia,5/1/2020,2020-W18,245,23,35,157,129,76,29,0
Croatia,5/2/2020,2020-W18,239,23,35,157,129,76,29,0
Croatia,5/3/2020,2020-W18,231,23,35,157,129,76,29,0
Croatia,5/4/2020,2020-W19,228,15,32,107,95,47,81,0
Croatia,5/5/2020,2020-W19,217,15,32,107,95,47,81,0
Croatia,5/6/2020,2020-W19,206,15,32,107,95,47,81,0
Croatia,5/7/2020,2020-W19,195,15,32,107,95,47,81,0
Croatia,5/8/2020,2020-W19,184,15,32,107,95,47,81,0
Croatia,5/9/2020,2020-W19,181,15,32,107,95,47,81,0
Croatia,5/10/2020,2020-W19,169,15,32,107,95,47,81,0
Croatia,5/11/2020,2020-W20,160,7,18,57,49,42,67,0
Croatia,5/12/2020,2020-W20,159,7,18,57,49,42,67,0
Croatia,5/13/2020,2020-W20,150,7,18,57,49,42,67,0
Croatia,5/14/2020,2020-W20,146,7,18,57,49,42,67,0
Croatia,5/15/2020,2020-W20,142,7,18,57,49,42,67,0
Croatia,5/16/2020,2020-W20,137,7,18,57,49,42,67,0
Croatia,5/17/2020,2020-W20,130,7,18,57,49,42,67,0
Croatia,5/18/2020,2020-W21,122,2,6,24,25,11,4,0
Croatia,5/19/2020,2020-W21,120,2,6,24,25,11,4,0
Croatia,5/20/2020,2020-W21,117,2,6,24,25,11,4,0
Croatia,5/21/2020,2020-W21,117,2,6,24,25,11,4,0
Croatia,5/22/2020,2020-W21,102,2,6,24,25,11,4,0
Croatia,5/23/2020,2020-W21,84,2,6,24,25,11,4,0
Croatia,5/24/2020,2020-W21,81,2,6,24,25,11,4,0
Croatia,5/25/2020,2020-W22,78,4,4,24,16,20,13,0
Croatia,5/26/2020,2020-W22,42,4,4,24,16,20,13,0
Croatia,5/27/2020,2020-W22,38,4,4,24,16,20,13,0
Croatia,5/28/2020,2020-W22,34,4,4,24,16,20,13,0
Croatia,5/29/2020,2020-W22,28,4,4,24,16,20,13,0
Croatia,5/30/2020,2020-W22,27,4,4,24,16,20,13,0
Croatia,5/31/2020,2020-W22,23,4,4,24,16,20,13,0
Croatia,6/1/2020,2020-W23,22,6,5,19,9,9,5,0
Croatia,6/2/2020,2020-W23,17,6,5,19,9,9,5,0
Croatia,6/3/2020,2020-W23,17,6,5,19,9,9,5,0
Croatia,6/4/2020,2020-W23,15,6,5,19,9,9,5,0
Croatia,6/5/2020,2020-W23,12,6,5,19,9,9,5,0
Croatia,6/6/2020,2020-W23,10,6,5,19,9,9,5,0
Croatia,6/7/2020,2020-W23,10,6,5,19,9,9,5,0
Croatia,6/8/2020,2020-W24,10,0,2,9,4,3,4,0
Croatia,6/9/2020,2020-W24,6,0,2,9,4,3,4,0
Croatia,6/10/2020,2020-W24,7,0,2,9,4,3,4,0
Croatia,6/11/2020,2020-W24,7,0,2,9,4,3,4,1
Croatia,6/12/2020,2020-W24,6,0,2,9,4,3,4,1
Croatia,6/13/2020,2020-W24,6,0,2,9,4,3,4,1
Croatia,6/14/2020,2020-W24,7,0,2,9,4,3,4,1
Croatia,6/15/2020,2020-W25,7,0,0,1,1,0,3,1
Croatia,6/16/2020,2020-W25,4,0,0,1,1,0,3,1
Croatia,6/17/2020,2020-W25,5,0,0,1,1,0,3,1
Croatia,6/18/2020,2020-W25,9,0,0,1,1,0,3,1
Croatia,6/19/2020,2020-W25,8,0,0,1,1,0,3,1
Croatia,6/20/2020,2020-W25,8,0,0,1,1,0,3,1
Croatia,6/21/2020,2020-W25,9,0,0,1,1,0,3,1
Croatia,6/22/2020,2020-W26,9,4,5,11,5,6,0,1
Croatia,6/23/2020,2020-W26,16,4,5,11,5,6,0,1
Croatia,6/24/2020,2020-W26,18,4,5,11,5,6,0,1
Croatia,6/25/2020,2020-W26,42,4,5,11,5,6,0,1
Croatia,6/26/2020,2020-W26,51,4,5,11,5,6,0,1
Croatia,6/27/2020,2020-W26,54,4,5,11,5,6,0,1
