country,date,year_week,Daily hospital occupancy,under_15_cases,15-24_cases,25-49_cases,50-64_cases,65-79_cases,over_80_cases,next_week_hospitalizations
Belgium,11/4/2020,2020-W45,7411,1569,5722,22752,12282,6112,5310,6879
Belgium,11/5/2020,2020-W45,7290,1569,5722,22752,12282,6112,5310,7010
Belgium,11/6/2020,2020-W45,7224,1569,5722,22752,12282,6112,5310,6762
Belgium,11/7/2020,2020-W45,6895,1569,5722,22752,12282,6112,5310,6505
Belgium,11/8/2020,2020-W45,6955,1569,5722,22752,12282,6112,5310,6518
Belgium,11/9/2020,2020-W46,7221,1144,3581,13230,7493,3809,4555,6580
Belgium,11/10/2020,2020-W46,7058,1144,3581,13230,7493,3809,4555,6240
Belgium,11/11/2020,2020-W46,6879,1144,3581,13230,7493,3809,4555,5930
Belgium,11/12/2020,2020-W46,7010,1144,3581,13230,7493,3809,4555,5651
Belgium,11/13/2020,2020-W46,6762,1144,3581,13230,7493,3809,4555,5418
Belgium,11/14/2020,2020-W46,6505,1144,3581,13230,7493,3809,4555,5017
Belgium,11/15/2020,2020-W46,6518,1144,3581,13230,7493,3809,4555,5025
Belgium,11/16/2020,2020-W47,6580,1073,2683,8215,4518,2395,3317,5076
Belgium,11/17/2020,2020-W47,6240,1073,2683,8215,4518,2395,3317,4783
Belgium,11/18/2020,2020-W47,5930,1073,2683,8215,4518,2395,3317,4570
Belgium,11/19/2020,2020-W47,5651,1073,2683,8215,4518,2395,3317,4376
Belgium,11/20/2020,2020-W47,5418,1073,2683,8215,4518,2395,3317,4215
Belgium,11/21/2020,2020-W47,5017,1073,2683,8215,4518,2395,3317,3994
Belgium,11/22/2020,2020-W47,5025,1073,2683,8215,4518,2395,3317,3989
Belgium,11/23/2020,2020-W48,5076,1079,2010,5619,3138,1733,2433,4014
Belgium,11/24/2020,2020-W48,4783,1079,2010,5619,3138,1733,2433,3707
Belgium,11/25/2020,2020-W48,4570,1079,2010,5619,3138,1733,2433,3590
Belgium,11/26/2020,2020-W48,4376,1079,2010,5619,3138,1733,2433,3417
Belgium,11/27/2020,2020-W48,4215,1079,2010,5619,3138,1733,2433,3348
Belgium,11/28/2020,2020-W48,3994,1079,2010,5619,3138,1733,2433,3163
Belgium,11/29/2020,2020-W48,3989,1079,2010,5619,3138,1733,2433,3210
Belgium,12/28/2020,2020-W53,2440,351,1329,3951,2254,1182,1299,2226
Belgium,12/29/2020,2020-W53,2417,351,1329,3951,2254,1182,1299,2130
Belgium,12/30/2020,2020-W53,2333,351,1329,3951,2254,1182,1299,2076
Belgium,12/31/2020,2020-W53,2187,351,1329,3951,2254,1182,1299,2018
Belgium,1/1/2021,2020-W53,2081,351,1329,3951,2254,1182,1299,1996
Belgium,1/2/2021,2020-W53,2122,351,1329,3951,2254,1182,1299,1927
Belgium,1/3/2021,2020-W53,2185,351,1329,3951,2254,1182,1299,1955
Belgium,1/4/2021,2021-W01,2226,561,1809,5756,2813,1382,1757,2020
Belgium,1/5/2021,2021-W01,2130,561,1809,5756,2813,1382,1757,1966
Belgium,1/6/2021,2021-W01,2076,561,1809,5756,2813,1382,1757,1943
Belgium,1/7/2021,2021-W01,2018,561,1809,5756,2813,1382,1757,1915
Belgium,1/8/2021,2021-W01,1996,561,1809,5756,2813,1382,1757,1883
Belgium,1/9/2021,2021-W01,1927,561,1809,5756,2813,1382,1757,1828
Belgium,1/10/2021,2021-W01,1955,561,1809,5756,2813,1382,1757,1892
Belgium,1/11/2021,2021-W02,2020,614,1714,5559,2805,1316,1390,1974
Belgium,1/12/2021,2021-W02,1966,614,1714,5559,2805,1316,1390,1960
Belgium,1/13/2021,2021-W02,1943,614,1714,5559,2805,1316,1390,1938
Belgium,1/14/2021,2021-W02,1915,614,1714,5559,2805,1316,1390,1941
Belgium,1/15/2021,2021-W02,1883,614,1714,5559,2805,1316,1390,1923
Belgium,1/16/2021,2021-W02,1828,614,1714,5559,2805,1316,1390,1888
Belgium,1/17/2021,2021-W02,1892,614,1714,5559,2805,1316,1390,1923
Belgium,1/18/2021,2021-W03,1974,1005,1847,5729,2778,1319,1442,1954
Belgium,1/19/2021,2021-W03,1960,1005,1847,5729,2778,1319,1442,1928
Belgium,1/20/2021,2021-W03,1938,1005,1847,5729,2778,1319,1442,1850
Belgium,1/21/2021,2021-W03,1941,1005,1847,5729,2778,1319,1442,1819
Belgium,1/22/2021,2021-W03,1923,1005,1847,5729,2778,1319,1442,1810
Belgium,1/23/2021,2021-W03,1888,1005,1847,5729,2778,1319,1442,1760
Belgium,1/24/2021,2021-W03,1923,1005,1847,5729,2778,1319,1442,1788
Belgium,1/25/2021,2021-W04,1954,1393,2038,6067,2909,1367,1481,1852
Belgium,1/26/2021,2021-W04,1928,1393,2038,6067,2909,1367,1481,1794
Belgium,1/27/2021,2021-W04,1850,1393,2038,6067,2909,1367,1481,1785
Belgium,1/28/2021,2021-W04,1819,1393,2038,6067,2909,1367,1481,1751
Belgium,1/29/2021,2021-W04,1810,1393,2038,6067,2909,1367,1481,1737
Belgium,1/30/2021,2021-W04,1760,1393,2038,6067,2909,1367,1481,1650
Belgium,1/31/2021,2021-W04,1788,1393,2038,6067,2909,1367,1481,1678
Belgium,2/1/2021,2021-W05,1852,1213,2005,5608,2643,1264,1122,1698
Belgium,2/2/2021,2021-W05,1794,1213,2005,5608,2643,1264,1122,1674
Belgium,2/3/2021,2021-W05,1785,1213,2005,5608,2643,1264,1122,1652
Belgium,2/4/2021,2021-W05,1751,1213,2005,5608,2643,1264,1122,1642
Belgium,2/5/2021,2021-W05,1737,1213,2005,5608,2643,1264,1122,1634
Belgium,2/6/2021,2021-W05,1650,1213,2005,5608,2643,1264,1122,1567
Belgium,2/7/2021,2021-W05,1678,1213,2005,5608,2643,1264,1122,1598
Belgium,2/8/2021,2021-W06,1698,926,1758,4815,2309,1095,851,1639
Belgium,2/9/2021,2021-W06,1674,926,1758,4815,2309,1095,851,1600
Belgium,2/10/2021,2021-W06,1652,926,1758,4815,2309,1095,851,1610
Belgium,2/11/2021,2021-W06,1642,926,1758,4815,2309,1095,851,1588
Belgium,2/12/2021,2021-W06,1634,926,1758,4815,2309,1095,851,1607
Belgium,2/13/2021,2021-W06,1567,926,1758,4815,2309,1095,851,1567
Belgium,2/14/2021,2021-W06,1598,926,1758,4815,2309,1095,851,1619
Belgium,2/15/2021,2021-W07,1639,984,1998,6126,2986,1357,891,1721
Belgium,2/16/2021,2021-W07,1600,984,1998,6126,2986,1357,891,1711
Belgium,2/17/2021,2021-W07,1610,984,1998,6126,2986,1357,891,1749
Belgium,2/18/2021,2021-W07,1588,984,1998,6126,2986,1357,891,1759
Belgium,2/19/2021,2021-W07,1607,984,1998,6126,2986,1357,891,1838
Belgium,2/20/2021,2021-W07,1567,984,1998,6126,2986,1357,891,1835
Belgium,2/21/2021,2021-W07,1619,984,1998,6126,2986,1357,891,1896
Belgium,2/22/2021,2021-W08,1721,1070,2468,6596,3075,1513,821,1937
Belgium,2/23/2021,2021-W08,1711,1070,2468,6596,3075,1513,821,1902
Belgium,2/24/2021,2021-W08,1749,1070,2468,6596,3075,1513,821,1900
Belgium,2/25/2021,2021-W08,1759,1070,2468,6596,3075,1513,821,1905
Belgium,2/26/2021,2021-W08,1838,1070,2468,6596,3075,1513,821,1915
Belgium,2/27/2021,2021-W08,1835,1070,2468,6596,3075,1513,821,1880
Belgium,2/28/2021,2021-W08,1896,1070,2468,6596,3075,1513,821,1938
Belgium,3/29/2021,2021-W13,2820,2054,4716,14026,7992,4213,2466,3055
Belgium,3/30/2021,2021-W13,2868,2054,4716,14026,7992,4213,2466,3167
Belgium,3/31/2021,2021-W13,2938,2054,4716,14026,7992,4213,2466,3163
Belgium,4/1/2021,2021-W13,2959,2054,4716,14026,7992,4213,2466,3129
Belgium,4/2/2021,2021-W13,3026,2054,4716,14026,7992,4213,2466,3117
Belgium,4/3/2021,2021-W13,2911,2054,4716,14026,7992,4213,2466,3022
Belgium,4/4/2021,2021-W13,2923,2054,4716,14026,7992,4213,2466,3085
Croatia,4/15/2020,2020-W16,341,8,26,163,125,55,11,314
Croatia,4/16/2020,2020-W16,372,8,26,163,125,55,11,321
Croatia,4/17/2020,2020-W16,372,8,26,163,125,55,11,325
Croatia,4/18/2020,2020-W16,361,8,26,163,125,55,11,316
Croatia,4/19/2020,2020-W16,331,8,26,163,125,55,11,314
Croatia,4/20/2020,2020-W17,324,20,23,172,123,79,16,303
Croatia,4/21/2020,2020-W17,317,20,23,172,123,79,16,287
Croatia,4/22/2020,2020-W17,314,20,23,172,123,79,16,269
Croatia,4/23/2020,2020-W17,321,20,23,172,123,79,16,261
Croatia,4/24/2020,2020-W17,325,20,23,172,123,79,16,245
Croatia,4/25/2020,2020-W17,316,20,23,172,123,79,16,239
Croatia,4/26/2020,2020-W17,314,20,23,172,123,79,16,231
Croatia,4/27/2020,2020-W18,303,23,35,157,129,76,29,228
Croatia,4/28/2020,2020-W18,287,23,35,157,129,76,29,217
Croatia,4/29/2020,2020-W18,269,23,35,157,129,76,29,206
Croatia,4/30/2020,2020-W18,261,23,35,157,129,76,29,195
Croatia,5/1/2020,2020-W18,245,23,35,157,129,76,29,184
Croatia,5/2/2020,2020-W18,239,23,35,157,129,76,29,181
Croatia,5/3/2020,2020-W18,231,23,35,157,129,76,29,169
Croatia,5/4/2020,2020-W19,228,15,32,107,95,47,81,160
Croatia,5/5/2020,2020-W19,217,15,32,107,95,47,81,159
Croatia,5/6/2020,2020-W19,206,15,32,107,95,47,81,150
Croatia,5/7/2020,2020-W19,195,15,32,107,95,47,81,146
Croatia,5/8/2020,2020-W19,184,15,32,107,95,47,81,142
Croatia,5/9/2020,2020-W19,181,15,32,107,95,47,81,137
Croatia,5/10/2020,2020-W19,169,15,32,107,95,47,81,130
Croatia,5/11/2020,2020-W20,160,7,18,57,49,42,67,122
Croatia,5/12/2020,2020-W20,159,7,18,57,49,42,67,120
Croatia,5/13/2020,2020-W20,150,7,18,57,49,42,67,117
Croatia,5/14/2020,2020-W20,146,7,18,57,49,42,67,117
Croatia,5/15/2020,2020-W20,142,7,18,57,49,42,67,102
Croatia,5/16/2020,2020-W20,137,7,18,57,49,42,67,84
Croatia,5/17/2020,2020-W20,130,7,18,57,49,42,67,81
Croatia,5/18/2020,2020-W21,122,2,6,24,25,11,4,78
Croatia,5/19/2020,2020-W21,120,2,6,24,25,11,4,42
Croatia,5/20/2020,2020-W21,117,2,6,24,25,11,4,38
Croatia,5/21/2020,2020-W21,117,2,6,24,25,11,4,34
Croatia,5/22/2020,2020-W21,102,2,6,24,25,11,4,28
Croatia,5/23/2020,2020-W21,84,2,6,24,25,11,4,27
Croatia,5/24/2020,2020-W21,81,2,6,24,25,11,4,23
Croatia,5/25/2020,2020-W22,78,4,4,24,16,20,13,22
Croatia,5/26/2020,2020-W22,42,4,4,24,16,20,13,17
Croatia,5/27/2020,2020-W22,38,4,4,24,16,20,13,17
Croatia,5/28/2020,2020-W22,34,4,4,24,16,20,13,15
Croatia,5/29/2020,2020-W22,28,4,4,24,16,20,13,12
Croatia,5/30/2020,2020-W22,27,4,4,24,16,20,13,10
Croatia,5/31/2020,2020-W22,23,4,4,24,16,20,13,10
Croatia,6/1/2020,2020-W23,22,6,5,19,9,9,5,10
Croatia,6/2/2020,2020-W23,17,6,5,19,9,9,5,6
Croatia,6/3/2020,2020-W23,17,6,5,19,9,9,5,7
Croatia,6/4/2020,2020-W23,15,6,5,19,9,9,5,7
Croatia,6/5/2020,2020-W23,12,6,5,19,9,9,5,6
Croatia,6/6/2020,2020-W23,10,6,5,19,9,9,5,6
Croatia,6/7/2020,2020-W23,10,6,5,19,9,9,5,7
Croatia,6/8/2020,2020-W24,10,0,2,9,4,3,4,7
Croatia,6/9/2020,2020-W24,6,0,2,9,4,3,4,4
Croatia,6/10/2020,2020-W24,7,0,2,9,4,3,4,5
Croatia,6/11/2020,2020-W24,7,0,2,9,4,3,4,9
Croatia,6/12/2020,2020-W24,6,0,2,9,4,3,4,8
Croatia,6/13/2020,2020-W24,6,0,2,9,4,3,4,8
Croatia,6/14/2020,2020-W24,7,0,2,9,4,3,4,9
Croatia,6/15/2020,2020-W25,7,0,0,1,1,0,3,9
Croatia,6/16/2020,2020-W25,4,0,0,1,1,0,3,16
Croatia,6/17/2020,2020-W25,5,0,0,1,1,0,3,18
Croatia,6/18/2020,2020-W25,9,0,0,1,1,0,3,42
Croatia,6/19/2020,2020-W25,8,0,0,1,1,0,3,51
Croatia,6/20/2020,2020-W25,8,0,0,1,1,0,3,54
Croatia,6/21/2020,2020-W25,9,0,0,1,1,0,3,60
Croatia,6/22/2020,2020-W26,9,4,5,11,5,6,0,65
